timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1516053727916,242,Page,200,OK,ebutik 1-1,text,true, Icons->SMOKE_TEST_PASSED,23599,504,1,1,224,0,120
1516053728899,245,Page,200,OK,ebutik 1-2,text,true, Icons->SMOKE_TEST_PASSED,23598,504,2,2,226,0,121
1516053728182,1117,Login,200,OK,ebutik 1-1,text,true, History->SMOKE_TEST_PASSED,24379,1514,2,2,274,0,0
1516053729301,761,Orders,200,OK,ebutik 1-1,text,true,SMOKE_TEST_PASSED - order,23210,1771,3,3,35,0,0
1516053729948,252,Page,200,OK,ebutik 1-3,text,true, Icons->SMOKE_TEST_PASSED,23597,504,3,3,233,0,131
1516053730066,208,Basket,200,OK,ebutik 1-1,text,true,SMOKE_TEST_PASSED - koszyk,21915,834,3,3,177,0,128
1516053729158,1128,Login,200,OK,ebutik 1-2,text,true, History->SMOKE_TEST_PASSED,24378,1514,3,3,293,0,0
1516053730280,194,Product,200,OK,ebutik 1-1,text,true,,256084,463,3,3,87,0,0
1516053730475,110,FindProduct,200,OK,ebutik 1-1,text,true, Value does not exist ,28549,921,3,3,104,0,0
1516053730289,845,Orders,200,OK,ebutik 1-2,text,true,SMOKE_TEST_PASSED - order,23209,1771,4,4,35,0,0
1516053731024,260,Page,200,OK,ebutik 1-4,text,true, Icons->SMOKE_TEST_PASSED,23598,504,4,4,237,0,132
1516053730220,1096,Login,200,OK,ebutik 1-3,text,true, History->SMOKE_TEST_PASSED,24376,1514,4,4,310,0,0
1516053731137,195,Basket,200,OK,ebutik 1-2,text,true,SMOKE_TEST_PASSED - koszyk,21914,834,4,4,179,0,127
1516053730590,885,History,200,OK,ebutik 1-1,text,true,,22955,865,4,4,882,0,0
1516053731339,210,Product,200,OK,ebutik 1-2,text,true,,256084,463,4,4,78,0,0
1516053731550,110,FindProduct,200,OK,ebutik 1-2,text,true, Value does not exist ,28550,921,4,4,100,0,0
1516053731319,818,Orders,200,OK,ebutik 1-3,text,true,SMOKE_TEST_PASSED - order,23207,1771,5,5,44,0,0
1516053732042,251,Page,200,OK,ebutik 1-5,text,true, Icons->SMOKE_TEST_PASSED,23597,504,5,5,232,0,125
1516053732139,205,Basket,200,OK,ebutik 1-3,text,true,SMOKE_TEST_PASSED - koszyk,21913,834,5,5,187,0,121
1516053731665,732,History,200,OK,ebutik 1-2,text,true,,22954,865,5,5,729,0,0
1516053731299,1112,Login,200,OK,ebutik 1-4,text,true, History->SMOKE_TEST_PASSED,24378,1514,5,5,290,0,0
1516053732351,191,Product,200,OK,ebutik 1-3,text,true,,256084,463,5,5,83,0,0
1516053731477,1081,Logout,200,OK,ebutik 1-1,text,true,,24615,3715,5,5,717,0,0
1516053732542,121,FindProduct,200,OK,ebutik 1-3,text,true, Value does not exist ,28548,921,4,4,115,0,0
1516053732414,942,Orders,200,OK,ebutik 1-4,text,true,SMOKE_TEST_PASSED - order,23209,1771,4,4,47,0,0
1516053732673,746,History,200,OK,ebutik 1-3,text,true,,22953,865,4,4,741,0,0
1516053732398,1070,Logout,200,OK,ebutik 1-2,text,true,,24614,3715,4,4,707,0,0
1516053732311,1158,Login,200,OK,ebutik 1-5,text,true, History->SMOKE_TEST_PASSED,24377,1514,4,4,273,0,0
1516053733358,187,Basket,200,OK,ebutik 1-4,text,true,SMOKE_TEST_PASSED - koszyk,21914,834,3,3,160,0,115
1516053733550,165,Product,200,OK,ebutik 1-4,text,true,,256084,463,3,3,82,0,0
1516053733716,133,FindProduct,200,OK,ebutik 1-4,text,true, Value does not exist ,28549,921,3,3,127,0,0
1516053733471,839,Orders,200,OK,ebutik 1-5,text,true,SMOKE_TEST_PASSED - order,23208,1771,3,3,35,0,0
1516053733420,1015,Logout,200,OK,ebutik 1-3,text,true,,24613,3715,3,3,652,0,0
1516053734312,195,Basket,200,OK,ebutik 1-5,text,true,SMOKE_TEST_PASSED - koszyk,21913,834,2,2,178,0,129
1516053733854,750,History,200,OK,ebutik 1-4,text,true,,22954,865,2,2,745,0,0
1516053734514,210,Product,200,OK,ebutik 1-5,text,true,,256084,463,2,2,113,0,0
1516053734725,103,FindProduct,200,OK,ebutik 1-5,text,true, Value does not exist ,28549,921,2,2,100,0,0
1516053734832,737,History,200,OK,ebutik 1-5,text,true,,22953,865,2,2,733,0,0
1516053734605,995,Logout,200,OK,ebutik 1-4,text,true,,24614,3715,2,2,649,0,0
1516053735571,976,Logout,200,OK,ebutik 1-5,text,true,,24613,3715,1,1,646,0,0
